phase,condition_group,model,mode,input_representation,n_shifts,n_seeds,n_models,n_sensor_combinations,n_segment_settings,n_feature_combinations,n_process_combinations,n_base_learners,n_folds,atomic_executions,sub_runs_per_atomic,total_sub_runs,notes
full,default,cumulative_s_dnn,base_only,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
full,default,cumulative_s_dnn,s_dnn,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
initial,default,cumulative_s_dnn,base_only,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
initial,default,cumulative_s_dnn,s_dnn,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
extra_seed,default,cumulative_s_dnn,base_only,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
extra_seed,default,cumulative_s_dnn,s_dnn,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
smoke,default,cumulative_s_dnn,base_only,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
reduced,default,cumulative_s_dnn,base_only,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
reduced,default,cumulative_s_dnn,s_dnn,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
optional_ablation,default,cumulative_s_dnn,base_only,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
optional_ablation,default,cumulative_s_dnn,s_dnn,cumulative,1,1,1,1,1,1,1,4,5,1,21,21,
