exp,orig_rmse,obs_rmse,delta
"H4_S5 (Best GRU, prefix=80%)",0.09077304007205174,0.09362931261487946,0.0028562725428277203
H4_S6a Prefix Sweep — best orig ratio=80%,0.11085413146111488,0.11350625564250398,0.002652124181389104
H4_S6a Prefix Sweep — best obs  ratio=80%,0.11085413146111488,0.11350625564250398,0.002652124181389104
H4_S6b (prefix=80% diagnostics),0.11085413146111488,0.11350625564250398,0.002652124181389104
H6_S3 task=T1_no_exit,0.10862300668215623,0.11130273708912271,0.0026797304069664796
H6_S3 task=T2_entry_steady,0.10801574110489648,0.1107270279492313,0.0027112868443348176
H6_S3 task=T3_steady,0.10907026022446177,0.11182072097144825,0.002750460746986483
H6_S3 task=T4_full_with_exit,0.11407330997202353,0.116821724732268,0.002748414760244469
"H7_S1 (Case difficulty GRU, 3-seed avg)",0.08991660306714715,0.09277820796656264,0.0028616048994154902
H4_S10 ensemble prefix=80% GRU,0.09077303967403383,0.0936293122949045,0.0028562726208706674
H4_S10 ensemble prefix=80% XGB,0.12334555690247721,0.13137910552158738,0.008033548619110167
H4_S10 ensemble prefix=100% GRU,0.11294908552496487,0.11578432704445457,0.0028352415194897035
H4_S10 ensemble prefix=100% XGB,0.11361905572224694,0.12172013880711087,0.00810108308486393
H4_S1_T0 prefix=10% model=stacking_ensemble,0.18136643315556022,0.1779145319075266,-0.0034519012480336286
H4_S1_T0 prefix=20% model=stacking_ensemble,0.16514599897079152,0.162457062457118,-0.0026889365136735233
H4_S1_T0 prefix=30% model=stacking_ensemble,0.1694247313588119,0.1637495995962198,-0.0056751317625921005
H4_S1_T0 prefix=40% model=stacking_ensemble,0.16108938881923177,0.1577040888121848,-0.003385300007046954
H4_S1_T0 prefix=50% model=stacking_ensemble,0.15724242143883813,0.1538891036509695,-0.003353317787868626
H4_S1_T0 prefix=60% model=stacking_ensemble,0.15930467812907245,0.15669307344018107,-0.002611604688891378
H4_S1_T0 prefix=70% model=stacking_ensemble,0.16321916196806077,0.1617548077261908,-0.0014643542418699695
H4_S1_T0 prefix=80% model=stacking_ensemble,0.16400673810618938,0.16054384338270308,-0.003462894723486293
H4_S1_T0 prefix=90% model=stacking_ensemble,0.15600972942453664,0.1533451070479713,-0.00266462237656534
H4_S1_T0 prefix=100% model=stacking_ensemble,0.1585537726435207,0.15653397419563977,-0.002019798447880916
H4_S3_T1 seg=entry model=feature_gru,0.18875338061753413,0.18875338061753413,0.0
H4_S3_T1 seg=entry_steady model=feature_gru,0.1729988955067581,0.1729988955067581,0.0
H4_S3_T1 seg=steady model=feature_gru,0.1858963142393197,0.1858963142393197,0.0
