stage,cell,segment,dropout,epochs,head,hidden,layers,lr,wd,seeds,rmse_mean,rmse_std
A,gru,Full,0.1,120,32,256,3,0.001,0.0001,2,0.09009369275259975,0.0011708953057840699
A,gru,Excl_Exit,0.1,120,32,256,3,0.001,0.0001,2,0.08919629490157466,0.00048170077673537204
A,gru,Entry_Steady,0.1,120,32,256,3,0.001,0.0001,2,0.08397197003079514,0.00022343827996565424
A,gru,Steady,0.1,120,32,256,3,0.001,0.0001,2,0.11833924340819099,0.0025653720760878754
A,gru,Steady_v2,0.1,120,32,256,3,0.001,0.0001,2,0.1193167795191456,0.0025166312962399753
A,lstm,Full,0.1,120,32,256,3,0.001,0.0001,2,0.10231287076109866,0.002573967198099082
A,lstm,Excl_Exit,0.1,120,32,256,3,0.001,0.0001,2,0.10250582259557023,0.0031883972022157467
A,lstm,Entry_Steady,0.1,120,32,256,3,0.001,0.0001,2,0.0986028689895337,0.0033158667776007206
A,lstm,Steady,0.1,120,32,256,3,0.001,0.0001,2,0.1442947985253633,0.0005138874788027936
A,lstm,Steady_v2,0.1,120,32,256,3,0.001,0.0001,2,0.1417021935466072,0.002503167596118072
B,gru,Entry_Steady,0.0,120,32,128,2,0.001,0.0001,2,0.09465143745302486,0.0016167536454190917
B,gru,Entry_Steady,0.0,120,32,128,2,0.0003,0.0001,2,0.1428463305854934,0.005423156461417666
B,gru,Entry_Steady,0.0,120,64,128,2,0.001,0.0001,2,0.09066261401196937,0.0039611469808348634
B,gru,Entry_Steady,0.0,120,64,128,2,0.0003,0.0001,2,0.13375790754285033,0.00289026237244408
B,gru,Entry_Steady,0.1,120,32,128,2,0.001,0.0001,2,0.09739116986075991,0.002271205150746157
B,gru,Entry_Steady,0.1,120,32,128,2,0.0003,0.0001,2,0.14377854095590953,0.005476756530874274
B,gru,Entry_Steady,0.1,120,64,128,2,0.001,0.0001,2,0.09291592372526239,0.0018320241475992191
B,gru,Entry_Steady,0.1,120,64,128,2,0.0003,0.0001,2,0.13374514729720052,0.0031649283650613813
B,gru,Entry_Steady,0.0,120,32,128,3,0.001,0.0001,2,0.09670744412526278,0.0036342453352107493
B,gru,Entry_Steady,0.0,120,32,128,3,0.0003,0.0001,2,0.1339634740604515,0.0034052409624725916
B,gru,Entry_Steady,0.0,120,64,128,3,0.001,0.0001,2,0.09690971815709085,0.00027815967468391295
B,gru,Entry_Steady,0.0,120,64,128,3,0.0003,0.0001,2,0.13304200201954164,0.004163445993306689
B,gru,Entry_Steady,0.1,120,32,128,3,0.001,0.0001,2,0.10121548799739116,2.606608615358247e-05
B,gru,Entry_Steady,0.1,120,32,128,3,0.0003,0.0001,2,0.134476359672829,0.0034039634539061725
B,gru,Entry_Steady,0.1,120,64,128,3,0.001,0.0001,2,0.09934734916228322,0.0002504891425067837
B,gru,Entry_Steady,0.1,120,64,128,3,0.0003,0.0001,2,0.1344258678075572,0.0035062578479735096
B,gru,Entry_Steady,0.0,120,32,256,2,0.001,0.0001,2,0.08609230307114285,0.0004651289415637666
B,gru,Entry_Steady,0.0,120,32,256,2,0.0003,0.0001,2,0.11929554270568676,0.0031962109473542485
B,gru,Entry_Steady,0.0,120,64,256,2,0.001,0.0001,2,0.08398608336311847,5.4984611948312445e-05
B,gru,Entry_Steady,0.0,120,64,256,2,0.0003,0.0001,2,0.11435834871034956,0.004655952111086513
B,gru,Entry_Steady,0.1,120,32,256,2,0.001,0.0001,2,0.0876384967177334,0.00014395570305306138
B,gru,Entry_Steady,0.1,120,32,256,2,0.0003,0.0001,2,0.1201018009216599,0.003188090921984084
B,gru,Entry_Steady,0.1,120,64,256,2,0.001,0.0001,2,0.08453895940246356,0.0012373436050809733
B,gru,Entry_Steady,0.1,120,64,256,2,0.0003,0.0001,2,0.11553729566642745,0.0043609275727018865
B,gru,Entry_Steady,0.0,120,32,256,3,0.001,0.0001,2,0.08290563412028812,0.0020310893304328614
B,gru,Entry_Steady,0.0,120,32,256,3,0.0003,0.0001,2,0.12316638784806186,0.0015993633004024524
B,gru,Entry_Steady,0.0,120,64,256,3,0.001,0.0001,2,0.0859309701695998,0.00010315202030781317
B,gru,Entry_Steady,0.0,120,64,256,3,0.0003,0.0001,2,0.11594515344257221,0.0017930161837426822
B,gru,Entry_Steady,0.1,120,32,256,3,0.001,0.0001,2,0.08397197003079514,0.00022343827996565424
B,gru,Entry_Steady,0.1,120,32,256,3,0.0003,0.0001,2,0.12550501464298291,0.0004457327930951216
B,gru,Entry_Steady,0.1,120,64,256,3,0.001,0.0001,2,0.08748040578013774,0.0008931023588545986
B,gru,Entry_Steady,0.1,120,64,256,3,0.0003,0.0001,2,0.11798066691461022,0.0007160639969659016
B,lstm,Entry_Steady,0.0,120,32,128,2,0.001,0.0001,2,0.10476476153657968,0.0033349182260085306
B,lstm,Entry_Steady,0.0,120,32,128,2,0.0003,0.0001,2,0.16877817470870288,0.0010540390967425234
B,lstm,Entry_Steady,0.0,120,64,128,2,0.001,0.0001,2,0.10073274006808361,0.0025949421590887797
B,lstm,Entry_Steady,0.0,120,64,128,2,0.0003,0.0001,2,0.167421070307846,0.007740933447556997
B,lstm,Entry_Steady,0.1,120,32,128,2,0.001,0.0001,2,0.10630461286413895,0.001996361729720543
B,lstm,Entry_Steady,0.1,120,32,128,2,0.0003,0.0001,2,0.168838447906779,0.0011980831387517488
B,lstm,Entry_Steady,0.1,120,64,128,2,0.001,0.0001,2,0.10245633686548013,0.0025862744836311485
B,lstm,Entry_Steady,0.1,120,64,128,2,0.0003,0.0001,2,0.16805748609806542,0.007364324093594596
B,lstm,Entry_Steady,0.0,120,32,128,3,0.001,0.0001,2,0.10667670103152624,0.0012276677552155724
B,lstm,Entry_Steady,0.0,120,32,128,3,0.0003,0.0001,2,0.17746869426077932,0.0033611035480023838
B,lstm,Entry_Steady,0.0,120,64,128,3,0.001,0.0001,2,0.10761102309062714,0.0008128356413532184
B,lstm,Entry_Steady,0.0,120,64,128,3,0.0003,0.0001,2,0.171261532199381,0.005544735082216215
B,lstm,Entry_Steady,0.1,120,32,128,3,0.001,0.0001,2,0.10813246337138728,0.0007551342995150839
B,lstm,Entry_Steady,0.1,120,32,128,3,0.0003,0.0001,2,0.17889305658220322,0.0024730238489529405
B,lstm,Entry_Steady,0.1,120,64,128,3,0.001,0.0001,2,0.1085017717072867,0.0005677315614478415
B,lstm,Entry_Steady,0.1,120,64,128,3,0.0003,0.0001,2,0.17088428137328804,0.004896289602959111
B,lstm,Entry_Steady,0.0,120,32,256,2,0.001,0.0001,2,0.09610805133286078,0.0011281198850548596
B,lstm,Entry_Steady,0.0,120,32,256,2,0.0003,0.0001,2,0.15141811475205458,7.938101549168075e-05
B,lstm,Entry_Steady,0.0,120,64,256,2,0.001,0.0001,2,0.08724311501735421,0.0011769396362948867
B,lstm,Entry_Steady,0.0,120,64,256,2,0.0003,0.0001,2,0.136715342111008,0.0025541225660963007
B,lstm,Entry_Steady,0.1,120,32,256,2,0.001,0.0001,2,0.09613309986941715,0.0013139560696196553
B,lstm,Entry_Steady,0.1,120,32,256,2,0.0003,0.0001,2,0.1517720993474767,0.0010192013045907528
B,lstm,Entry_Steady,0.1,120,64,256,2,0.001,0.0001,2,0.08895915112299554,0.0012781933428956463
B,lstm,Entry_Steady,0.1,120,64,256,2,0.0003,0.0001,2,0.13686229589515383,0.0024462439389922597
B,lstm,Entry_Steady,0.0,120,32,256,3,0.001,0.0001,2,0.09928395486131628,0.004498968452216721
B,lstm,Entry_Steady,0.0,120,32,256,3,0.0003,0.0001,2,0.1545241041464715,0.00037140990239950544
B,lstm,Entry_Steady,0.0,120,64,256,3,0.001,0.0001,2,0.08939276938645191,0.0010402350089345688
B,lstm,Entry_Steady,0.0,120,64,256,3,0.0003,0.0001,2,0.1458479748659866,0.005920543694939273
B,lstm,Entry_Steady,0.1,120,32,256,3,0.001,0.0001,2,0.0986028689895337,0.0033158667776007206
B,lstm,Entry_Steady,0.1,120,32,256,3,0.0003,0.0001,2,0.15535866053618452,0.00046850694698373496
B,lstm,Entry_Steady,0.1,120,64,256,3,0.001,0.0001,2,0.09078862309256004,0.0006132829211843438
B,lstm,Entry_Steady,0.1,120,64,256,3,0.0003,0.0001,2,0.14595377747330895,0.005823020525579134
C,gru,Entry_Steady,0.0,120,32,256,3,0.001,0.0001,5,0.08390345612619284,0.0017579492519576446
C,gru,Entry_Steady,0.1,120,32,256,3,0.001,0.0001,5,0.08459488581790528,0.0016504930216729302
C,lstm,Entry_Steady,0.0,120,64,256,2,0.001,0.0001,5,0.08667901315711216,0.0018004419421090308
C,lstm,Entry_Steady,0.1,120,64,256,2,0.001,0.0001,5,0.08764655424018895,0.0022272379432242105
