rank,target_case,model,model_type,task_id,scenario,task,run_id,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,margin_to_second_rmse,second_best_model,second_best_task_id,second_best_input_length_pct,source_file
1,1,XGBoost,ML,S3_T4,S3,T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,80.0,0.0446259917305221,0.9191873984894312,0.0391440528981825,17,0.004014530762175901,XGBoost,S3_T2,100.0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
2,2,XGBoost,ML,S1_T6,S1,T6,2026-06-08_173840_H4_S1_T6_raw_only,Raw,24,prefix,-,90.0,0.0326730363925696,0.9441604150850782,0.0286795012538249,13,0.0015384748522789052,XGBoost,S1_T1,90.0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
3,3,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,50.0,0.0398018222513207,0.9113565683364868,0.0330967605113983,14,3.65821390381979e-05,feature_gru,S1_T4,60.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
4,4,XGBoost,ML,S1_T1,S1,T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,Raw+Meta,27,prefix,-,90.0,0.040235796215802,0.9149216585597832,0.0299416151642799,7,0.0007926246436446988,XGBoost,S1_T1,80.0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
5,5,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,30.0,0.0256615963804082,0.9888449907302856,0.0218521263450384,6,0.0025442772652947004,feature_gru,S1_T4,20.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
6,6,XGBoost,ML,S1_T5,S1,T5,2026-06-08_171530_H4_S1_T5_with_case6,Raw+Delta+Meta,51,prefix_with_case6,-,100.0,0.0061564529314637,,0.0061564529314637,1,0.00011853061452949971,Ridge,S1_T5,60.0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
7,7,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,20.0,0.0278175351806801,0.9627168774604796,0.0234152469784021,7,0.008974671212431402,XGBoost,S1_T7,70.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
8,8,RandomForest,ML,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,10.0,0.0519621186416302,0.929343444170846,0.0471506944444445,6,0.007944088274445198,RandomForest,S1_T7,10.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
9,9,MLP,ML,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,100.0,0.0625624507023235,0.9381556493312394,0.0538757291788887,9,0.004338178216488506,feature_gru,S1_T4,20.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
10,10,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,80.0,0.0471516778507193,0.9546602368354796,0.0417804196476936,10,0.0028357634566673062,feature_gru,S1_T4,50.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
11,11,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,60.0,0.0310685442128639,0.9794309139251708,0.0246720369905233,23,0.00021117505989049976,feature_gru,S1_T4,80.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
12,12,SVR,ML,S1_T1,S1,T1,2026-06-08_161302_H4_S1_T1_input_signal_length_effect,Raw+Meta,27,prefix,-,70.0,0.046852776185107,0.9369320595263424,0.0399313447544216,14,0.0,SVR,S1_T3,70.0,experiments/executions/H4/S1/T1/2026-06-08_161302_H4_S1_T1_input_signal_length_effect/metrics/H4_S1_T1_shift_metrics.csv
13,13,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,70.0,0.0969145936194138,0.9557179808616638,0.0628441274166107,15,0.022098604721344894,feature_gru,S1_T4,60.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
14,14,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,80.0,0.0931556257990335,0.929180145263672,0.0716907605528831,9,0.006597262623835601,feature_gru,S1_T4,100.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
15,15,feature_gru,DL,S1_T4,S1,T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,Delta+Meta,27,prefix,-,60.0,0.0179905135067116,0.993529498577118,0.0142074422910809,7,0.0026128143931214015,feature_gru,S1_T4,100.0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
16,16,Ridge,ML,S1_T7,S1,T7,2026-06-08_174208_H4_S1_T7_delta_only,Delta,24,prefix,-,80.0,0.0320640214849191,0.9739867493278938,0.0257358629064848,6,0.010785403664184498,feature_gru,S1_T4,80.0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
